episode,reset_seed,task_return,train_return,variation,length,success,crash,out_of_bounds,discounted_task_return,discounted_variation,discounted_train_return,min_distance_to_pad,mean_distance_to_pad,final_distance_to_pad,mean_speed,final_speed,min_abs_x,final_abs_x,final_y,near_pad_fraction_0p2,near_pad_fraction_0p1,final_m_power,mean_m_power,last50_mean_m_power,final_main_cmd,positive_main_fraction,final_theta_abs,mean_theta_abs,final_theta_variation,mean_theta_variation,final_both_legs_contact,both_legs_contact_fraction,ever_both_legs_contact,low_velocity_fraction,final_lander_awake,landing_candidate
0,1511897467,197.3923033268191,160.36431692594346,1.3085324267250416,870,True,False,False,32.94085701573141,0.21925175702586344,27.652399556507753,0.011164242304862947,0.4865219862824684,0.061940367864589604,0.18634422602024708,0.0,0.00043087004451081157,0.06192760542035103,0.001257321797311306,0.3839080459770115,0.2850574712643678,0.0,0.5382583338521079,0.27397897861897946,-0.041052717715501785,0.9390804597701149,0.010270768776205743,0.035457106879133164,3.9011148773165916e-09,0.0015040602606034965,1.0,0.03103448275862069,1.0,0.11264367816091954,0.0,1.0
1,1156069968,18.871262386045434,-37.31907269078937,2.4126890051223224,1000,False,False,False,69.00778828375654,0.20203530053651955,63.97734511820345,0.11885942023628558,0.2718052125736887,0.1420643731924445,0.08244242939675588,0.023583635710923343,0.005130481906235218,0.14105024933815002,0.016944417729973793,0.705,0.0,0.5526659414172173,0.5526977989587467,0.5539783237874508,0.10533188283443451,0.971,0.005153528798493569,0.0154800236066627,0.0006757680240062243,0.002412689005122322,0.0,0.028,1.0,0.615,1.0,0.0
2,747316575,183.55360233848904,159.57475249484278,0.870589989576421,546,True,False,False,25.13907070319741,0.14405918731814438,20.9864593844023,0.10626935580434296,0.4695292042010181,0.10629672944582708,0.13726960496363566,0.0,0.0024792670737951994,0.10629606246948242,0.00037655592313967645,0.26556776556776557,0.0,0.0,0.5279015439439688,0.18226245241239666,-0.04092343524098396,0.9102564102564102,0.013362851595453796,0.01913491197856247,5.20148650366703e-09,0.0015944871603963751,1.0,0.06227106227106227,1.0,0.10805860805860806,0.0,0.0
3,329122178,250.460001648101,229.431348138474,0.7685769006417962,475,True,False,False,39.01887210567085,0.20383060850130502,33.97830755931195,0.03877096003264216,0.596468032229785,0.0387986017804054,0.2550263491725353,0.0,0.01155385933816433,0.038780879229307175,0.0011725639924407005,0.22105263157894736,0.15157894736842106,0.0,0.46814630282111463,0.0,-0.04095093533396721,0.8210526315789474,0.008683534519305713,0.052951486308915795,0.0,0.0016180566329300967,1.0,0.12210526315789473,1.0,0.07157894736842105,0.0,1.0
4,646131025,207.71592967286705,173.6010600890865,1.2383246389187146,777,True,False,False,56.70637672324898,0.24058264199752835,51.09844913099639,0.026845889941307818,0.3715926594237639,0.026957772594130718,0.1598895263321726,0.0,0.014240359887480736,0.026938725262880325,0.0010132050374522805,0.4465894465894466,0.296010296010296,0.0,0.5535175475163656,0.28784712359309195,-0.04047274589538574,0.9678249678249679,0.0042425329750354745,0.030480914527131045,5.201486504534392e-09,0.0015937254040137882,1.0,0.03346203346203346,1.0,0.25096525096525096,0.0,1.0
5,386281797,27.790621107187956,-32.58575331083522,2.691758294534891,1000,False,False,False,28.890808250081992,0.1763876133959479,24.245080391637625,0.3566243144780993,0.6442324982538229,0.41828618875537915,0.16176925996816027,0.008418334913774745,0.015694808214902878,0.4180335998535156,-0.01453427318483591,0.0,0.0,0.5499303415417671,0.5291327084919903,0.5312945445813239,0.09986068308353424,0.973,0.038136713880543634,0.03131278002050075,0.0014742391146432485,0.0026917582945348915,0.0,0.0,0.0,0.489,1.0,0.0
6,469159189,220.0816764036195,197.3636635931466,0.8198675206981875,521,True,False,False,49.16706822729887,0.21213186368307801,43.995730878506976,0.10365197941327425,0.4622165038524787,0.10368116919787658,0.16601203632192887,0.0,0.009231853298842907,0.10367794334888458,0.0008178686839528382,0.2821497120921305,0.0,0.0,0.5521942029051097,0.2601345407962799,-0.03945884108543396,0.946257197696737,0.0007669124529184863,0.02888519631234863,2.6007432520503554e-09,0.001573642074276751,1.0,0.05566218809980806,1.0,0.09021113243761997,0.0,0.0
7,1241291005,34.10664431457411,-51.53578033974287,4.376161643621134,1000,False,False,False,26.683727013685406,0.1981878124611079,21.71099616926362,0.43764797143312906,0.6293214328393101,0.43764797143312906,0.12854652367181302,0.014329328698251164,0.012916183099150658,0.43644246459007263,-0.03246108442544937,0.0,0.0,0.5061410064809024,0.4568227873840369,0.5165191447874531,0.012282012961804867,0.831,0.0019636692486744447,0.03763457522015829,0.001316211046425612,0.004376161643621132,0.0,0.165,1.0,0.527,1.0,0.0
8,825866776,-21.359125503267606,-35.54836838892861,0.4419495257107369,378,False,True,False,24.21920879881677,0.1804245689806352,19.557625364649283,0.7460776765743089,0.9689744357243014,0.7978418168873003,0.2885008077159366,0.054858458702200526,0.014034080319106579,0.7868949770927429,0.13171127438545227,0.0,0.0,0.5061063310131431,0.5003849553419281,0.352678799565183,0.012212662026286125,0.873015873015873,0.036307905035378056,0.07285360759546858,1.2301515582104072e-05,0.0011691786394463948,0.0,0.0,0.0,0.013227513227513227,1.0,0.0
9,401355324,19.90985866826088,-38.51647142559858,2.5617553395906287,1000,False,False,False,27.432185042247465,0.1815584310833972,22.708894918491286,0.40891206853576817,0.6558379040742408,0.4151921617751408,0.1409657733202906,0.03148170515583862,0.013640212826430798,0.41331854462623596,-0.039399389177560806,0.0,0.0,0.5285671558231115,0.5291650391803414,0.5229219917953014,0.05713431164622307,0.966,0.014983768728396686,0.033938696169281544,0.0006207219927053739,0.0025617553395906336,0.0,0.0,0.0,0.488,1.0,0.0
