episode,reset_seed,task_return,train_return,variation,length,success,crash,out_of_bounds,discounted_task_return,discounted_variation,discounted_train_return,min_distance_to_pad,mean_distance_to_pad,final_distance_to_pad,mean_speed,final_speed,min_abs_x,final_abs_x,final_y,near_pad_fraction_0p2,near_pad_fraction_0p1,final_m_power,mean_m_power,last50_mean_m_power,final_main_cmd,positive_main_fraction,final_theta_abs,mean_theta_abs,final_theta_variation,mean_theta_variation,final_both_legs_contact,both_legs_contact_fraction,ever_both_legs_contact,low_velocity_fraction,final_lander_awake,landing_candidate
0,1511897467,73.54624780515427,-88.63523579157861,1.4218148359673304,1000,False,False,False,32.48781220876869,0.18584615139086974,11.90328341217653,0.030969418247419146,0.433697680375325,0.06734584099980177,0.16783634356264293,3.682278754697281e-06,3.890991138177924e-05,0.06734581291675568,-6.150245462777093e-05,0.473,0.381,0.0,0.5462536769277649,0.39075627729296686,-0.047686561942100525,0.956,0.009415441536964456,0.031703062142826276,1.2945199536987945e-06,0.0014218148359673294,1.0,0.019,1.0,0.196,1.0,1.0
1,1156069968,199.30152459573003,80.02267149949495,1.058788530962351,670,True,False,False,69.38755501707321,0.2033991731796837,47.05001788225293,0.07754344413981053,0.32657270866424526,0.07757033156063844,0.10806833734817048,0.0,0.005130672361701727,0.0775640457868576,0.0009874915704131126,0.5582089552238806,0.1253731343283582,0.0,0.5656943845298531,0.28088351018726826,-0.04766576737165451,0.9611940298507463,0.009976240454585606,0.018506248253534887,0.0,0.001580281389496046,1.0,0.04029850746268657,1.0,0.44776119402985076,0.0,1.0
2,747316575,167.39319334765895,57.09664912622265,0.9705654422143629,662,True,False,False,24.391592738702904,0.14605777463849318,7.788394734982056,0.06677339053092535,0.4084983457664465,0.06680094255497843,0.11630628054458737,0.0,0.0024792670737951994,0.06678428500890732,0.0014917111257091165,0.37915407854984895,0.20090634441087613,0.0,0.5386871100302076,0.23641320064663887,-0.04804377257823944,0.93202416918429,0.009332851684067162,0.018405676075299415,0.0,0.0014661109399008506,1.0,0.04682779456193353,1.0,0.22054380664652568,0.0,1.0
3,329122178,232.98781777488193,112.6465914479416,1.0956122632694012,539,True,False,False,38.23390314561976,0.20537724866297205,15.705058011838801,0.043482144254558645,0.5641373732329941,0.043509700337239644,0.21600919397505286,0.0,0.011553764343261719,0.043501853942871094,0.0008262729388661683,0.24118738404452691,0.15955473098330242,0.0,0.5181176144257577,0.11150788724189624,-0.048441655933856964,0.9109461966604824,0.008006583157119815,0.04578137972486608,2.6007432527008767e-09,0.0020326758131157733,1.0,0.07606679035250463,1.0,0.06307977736549165,0.0,1.0
4,646131025,202.36673429310318,59.4594754730273,1.26627258820076,814,True,False,False,56.98492401642055,0.20928476922905462,34.05700695217194,0.016651404554392027,0.34859512230964734,0.01674104438317737,0.15457164596848305,0.0,0.012295151129364967,0.01673450507223606,-0.0004678750119637698,0.48402948402948404,0.3194103194103194,0.0,0.5542842731502191,0.28293273091316223,-0.049329910427331924,0.9680589680589681,0.004638370974388115,0.030202543408642406,5.20148650366703e-09,0.001555617430222063,1.0,0.033169533169533166,1.0,0.28132678132678135,0.0,1.0
5,386281797,44.24944286350799,-137.97615243061472,1.62225595294123,1000,False,False,False,27.083594616555107,0.16623191149091943,8.460489809957991,0.21728659780928644,0.611922990761094,0.2270470078831101,0.17031116371667576,0.009671546369267425,0.015694808214902878,0.226287841796875,0.018551453948020935,0.0,0.0,0.5515828169882298,0.5432315578459238,0.5356853246316313,0.1031656339764595,0.977,0.02123790476334542,0.028507854392490907,0.0021038985615342252,0.0016222559529412287,0.0,0.0,0.0,0.395,1.0,0.0
6,469159189,220.17064073123043,126.64512788035682,0.8282551285087363,535,True,False,False,49.30150529670107,0.2042204688996239,26.888702389041097,0.0822428656330295,0.44170190856725816,0.08227119456153477,0.16320356176076412,0.0,0.009239768609404564,0.08226652443408966,0.0008765911916270852,0.32897196261682243,0.11401869158878504,0.0,0.5503943863664275,0.22972806811332702,-0.050540272146463394,0.9420560747663551,0.0009837961536618397,0.029128544565916556,5.201486504100711e-09,0.001548140427119132,1.0,0.059813084112149535,1.0,0.10093457943925234,0.0,1.0
7,1241291005,143.37515856341938,-151.33492732827057,2.757500858916902,948,True,False,False,26.534322428095173,0.19152280970045796,5.382187069146542,0.4089022030115304,0.6346331427820713,0.48079229812066876,0.13245617689868922,0.0,0.012916279025375843,0.47917109727859497,-0.03944988548755646,0.0,0.0,0.0,0.46369518319666503,0.03177038758993149,-0.03065808117389679,0.8375527426160337,0.03218272572319686,0.03568971400846593,0.0,0.002908756180292089,1.0,0.1518987341772152,1.0,0.5052742616033755,0.0,0.0
8,825866776,-15.724772428144888,-67.44093402664151,0.43816161598496556,395,False,True,False,23.90240939465324,0.17443555727671614,4.496604962648538,0.7248864614176177,0.9647990159265994,0.7321917241416175,0.2672345536307503,0.0461634655814458,0.014034080319106579,0.7160636782646179,0.15283170342445374,0.0,0.0,0.5051914220675826,0.5085060542447881,0.332954821792664,0.010382844135165215,0.8810126582278481,0.027237636093380528,0.06787601606161957,0.0007971148030310876,0.0011092699138859892,0.0,0.0,0.0,0.15443037974683543,1.0,0.0
9,401355324,26.562195466579727,-214.55179713036182,2.2111399259694133,1000,False,False,False,27.094671148400725,0.1756792775850132,7.526829732394185,0.29062144344161367,0.6014998558136858,0.29874889034915847,0.150539271922748,0.03919209133211392,0.013640117831528187,0.2987246513366699,-0.0038055444601923227,0.0,0.0,0.538092914968729,0.545698786819572,0.5291022587008775,0.07618582993745804,0.978,0.007592031184604282,0.03219367283029131,0.0002193700925655212,0.0022111399259694144,0.0,0.0,0.0,0.34,1.0,0.0
10,847717680,188.73788987026768,102.72972628875073,0.7534816358151704,533,True,False,False,24.806642391860976,0.14624264301906176,8.19180976254175,0.10258608426793542,0.49274782249148,0.10259968948426233,0.1452341882078556,0.0,0.005251693539321423,0.10258998721837997,0.0014109588228166103,0.35647279549718575,0.0,0.0,0.5468508950698907,0.28678640983998777,-0.04710489138960838,0.9362101313320825,0.01143062029375635,0.020033659308182426,2.6007432527008767e-09,0.001413661605656981,1.0,0.04878048780487805,1.0,0.19699812382739212,0.0,0.0
11,1843468895,188.79227332402945,77.54752473646617,0.9848474858756332,638,True,False,False,25.759746340770146,0.15041638465005266,8.721390976050534,0.045511122144002436,0.4591160484021389,0.04553877649381304,0.14348070850248848,0.0,0.006466102786362171,0.04553212970495224,0.0007780289743095636,0.40282131661442006,0.2006269592476489,0.0,0.5330440328262315,0.18081277900375425,-0.048385053873062134,0.9263322884012539,0.008125209558703056,0.023500516063153083,2.6007432527008767e-09,0.0015436480969837517,1.0,0.05329153605015674,1.0,0.13322884012539185,0.0,1.0
12,2089784483,190.65648834472512,120.08644847240501,0.6173003987232019,442,True,False,False,13.796113534418076,0.15361467720835012,-3.5418152948785737,0.03144922890917295,0.48913813947361606,0.03146552862215775,0.15110303380423498,0.0,0.0006971359252929688,0.031460952013731,-0.0005366468685679138,0.33710407239819007,0.21040723981900453,0.0,0.5352362829631372,0.19185623982921243,-0.04839649423956871,0.9004524886877828,0.007363577996231044,0.01716758159294944,5.20148650366703e-09,0.0013966072369303213,1.0,0.08144796380090498,1.0,0.09502262443438914,0.0,1.0
13,2027634781,50.863073591235995,-144.48223410293463,1.753453076941708,1000,False,False,False,27.475694465816243,0.15517525615572822,9.958255192738283,0.11705296214947146,0.5296418620049845,0.12206250881997818,0.15315053925932876,0.02700775014940449,0.011813640594482422,0.1220608726143837,0.0006320095271803439,0.266,0.0,0.5406603030860424,0.5280491344006732,0.18080562703311442,0.08132060617208481,0.943,0.003338071844091012,0.027571199222325964,0.012194275559571349,0.0017534530769417072,0.0,0.034,1.0,0.264,1.0,0.0
