episode,reset_seed,task_return,train_return,variation,length,success,crash,out_of_bounds,discounted_task_return,discounted_variation,discounted_train_return,min_distance_to_pad,mean_distance_to_pad,final_distance_to_pad,mean_speed,final_speed,min_abs_x,final_abs_x,final_y,near_pad_fraction_0p2,near_pad_fraction_0p1,final_m_power,mean_m_power,last50_mean_m_power,final_main_cmd,positive_main_fraction,final_theta_abs,mean_theta_abs,final_theta_variation,mean_theta_variation,final_both_legs_contact,both_legs_contact_fraction,ever_both_legs_contact,low_velocity_fraction,final_lander_awake,landing_candidate
0,464507548,136.2456633546622,-1162.1378104509902,1.2823634738056546,801,True,False,False,5.24859849521295,0.13323718240690355,-129.9879459114117,0.001457860602477237,0.4199204314165396,0.0014618173581472124,0.09699751485482219,0.0,2.384185791015625e-06,0.001196193741634488,0.0008402562234550714,0.42946317103620474,0.2759051186017478,0.0,0.5476304299216113,0.2654011586494744,-0.06924854964017868,0.9575530586766542,0.001709923019442944,0.015062864926300507,2.6007432520503554e-09,0.0016009531508185426,1.0,0.03495630461922597,1.0,0.2983770287141074,0.0,1.0
1,172674724,41.40619304119611,-1791.6628786431254,1.8130690716843203,1000,False,False,False,66.49069243005275,0.19299114401600614,-128.50036524345828,0.11603615084032026,0.30468710834437784,0.12095540468733297,0.07813184876452069,0.010898059263872904,0.11602888256311417,0.12095355987548828,-0.0006680393125861883,0.561,0.0,0.0,0.5523015585760586,0.20293676099739968,-0.07126070559024811,0.962,0.008543464339423667,0.011259993966299536,0.0009426855548911803,0.0018130690716843241,1.0,0.039,1.0,0.609,1.0,0.0
2,163903425,222.61944898731602,-1207.3401577477816,1.4183196067350976,582,True,False,False,28.13566624046293,0.18587955574624226,-159.7381256480639,0.13351116752653097,0.5375588981044351,0.13351383917184495,0.1740273658121314,0.0,0.0020301819313317537,0.13344630599021912,0.004246017895638943,0.3865979381443299,0.0,0.0,0.43511250124860407,0.030162361352704465,-0.06996890157461166,0.7336769759450171,0.00914018602321349,0.03466526256643115,7.802229756367907e-09,0.002436975269304292,1.0,0.21477663230240548,1.0,0.3075601374570447,0.0,0.0
3,1019325551,-108.29978208912071,-244.97435737563933,0.13567457528651866,50,False,False,True,-70.41990508961823,0.12816440669900367,-199.37429965434683,1.57759183533471,1.702153241643981,1.7721447633484946,0.6923896439511781,0.5601132049393008,0.6701469421386719,1.003616452217102,1.4605653285980225,0.0,0.0,0.5894143283367157,0.40871976340655236,0.40871976340655236,0.1788286566734314,0.74,0.10339102915041358,0.10767268332468022,0.0010098686047634448,0.0027134915057303744,0.0,0.0,0.0,0.0,1.0,0.0
4,1629015762,208.9751727559546,-759.3329465102598,0.955788119266214,626,True,False,False,36.363481089856585,0.15600042736030204,-121.63324234860455,0.030240506950574144,0.5298640213905985,0.035638683488159406,0.13136860742791195,0.0,2.002715973503655e-06,0.03560047224164009,0.0016498899785801768,0.2763578274760383,0.17252396166134185,0.0,0.5319462454852316,0.20455882713198661,-0.06954265385866165,0.9089456869009584,0.0037016368953363,0.021511717123520093,1.8205202764135647e-08,0.0015268180818949107,1.0,0.054313099041533544,1.0,0.09424920127795527,0.0,1.0
5,1449951718,190.39223389076062,-929.5838934613329,1.1044361273520915,777,True,False,False,47.45447157478376,0.12778359639496417,-82.32831278246994,0.01515665164546651,0.4492661614446052,0.01518424610489959,0.13204857014522361,0.0,0.015116882510483265,0.015144539065659046,0.0010973906610161066,0.3745173745173745,0.1788931788931789,0.0,0.5633280296921442,0.26567181400954726,-0.06924031674861908,0.9652509652509652,0.0009352067925770602,0.012606370463202949,5.201486504100711e-09,0.0014214107173128605,1.0,0.036036036036036036,1.0,0.1994851994851995,0.0,1.0
6,1892108963,-66.5841870173812,-217.97613043828824,0.1499319434209071,73,False,False,True,-24.947905827948183,0.1341556845866054,-160.14330750141073,1.4037725873039553,1.479824688721908,1.4037725873039553,0.38195952710681125,0.23806696528833146,0.7975265383720398,1.0010818243026733,0.9840795993804932,0.0,0.0,0.5692071616649628,0.6179630844152137,0.5976708966493607,0.13841432332992554,1.0,0.06511681657487835,0.07884771219132344,0.0005237272731209025,0.0020538622386425624,0.0,0.0,0.0,0.0,1.0,0.0
7,1353470719,202.17591115133825,-1013.4770207244746,1.2003529318758126,765,True,False,False,50.14245720971138,0.19389342577420177,-145.75005244132987,0.09703421330136096,0.4296434121053966,0.09781782372329012,0.14097839825427388,0.0,0.0001968383730854839,0.09781646728515625,0.0005151366931386292,0.4300653594771242,0.10980392156862745,0.0,0.5593150967391196,0.30338081836700437,-0.06929127871990204,0.9620915032679739,0.007245287740713128,0.03029152532892322,2.6007432520069873e-08,0.001569088799837662,1.0,0.03398692810457516,1.0,0.3333333333333333,0.0,1.0
8,676069518,140.12193300327044,-1224.6672257071496,1.34704915871042,887,True,False,False,26.255574133238117,0.15099659267315624,-126.74074972856701,0.06258336265030638,0.37145721532410914,0.06261120054458642,0.09493011409408456,0.0,0.03693952411413193,0.06259851157665253,0.0012604689691215754,0.5219842164599775,0.4487034949267193,0.0,0.54283910827738,0.2305813692137599,-0.0694790855050087,0.9470124013528749,0.005230792654303611,0.014174723275379528,2.0805946016402843e-08,0.0015186574506318158,1.0,0.03494926719278467,1.0,0.42390078917700114,0.0,1.0
9,1315085260,2.3305641514248556,-1500.384926017681,1.4827154901691053,1000,False,False,False,28.51534152032027,0.18271173505996982,-156.19630719715457,0.0478376713743372,0.3716430080005758,0.0478376713743372,0.09808365005387852,0.03904088174256507,5.607604907709174e-05,0.03433113172650337,0.03331390395760536,0.532,0.405,0.582807756960392,0.5714731736639515,0.5726837978512048,0.165615513920784,1.0,0.005042733559935098,0.01848660965480357,0.0011656703554841176,0.001482715490169106,0.0,0.0,0.0,0.392,1.0,0.0
10,1377954153,181.07697250936187,-516.4199489002577,0.6873369214096192,508,True,False,False,15.56377706018744,0.12822648936773817,-114.65058655081624,0.16027207071861835,0.5913409723802538,0.16027265197501886,0.14813286207780965,0.0,0.16027125716209412,0.16027183830738068,0.0005107021424919367,0.20866141732283464,0.0,0.0,0.5358757213909384,0.1630170348659158,-0.06911778450012207,0.9212598425196851,0.010774036002162915,0.009113161027237715,2.6007432527008767e-09,0.0013530254358457062,1.0,0.07283464566929133,1.0,0.0984251968503937,0.0,0.0
