episode,reset_seed,task_return,train_return,variation,length,success,crash,out_of_bounds,discounted_task_return,discounted_variation,discounted_train_return,min_distance_to_pad,mean_distance_to_pad,final_distance_to_pad,mean_speed,final_speed,min_abs_x,final_abs_x,final_y,near_pad_fraction_0p2,near_pad_fraction_0p1,final_m_power,mean_m_power,last50_mean_m_power,final_main_cmd,positive_main_fraction,final_theta_abs,mean_theta_abs,final_theta_variation,mean_theta_variation,final_both_legs_contact,both_legs_contact_fraction,ever_both_legs_contact,low_velocity_fraction,final_lander_awake,landing_candidate
0,464507548,-43.195788362529164,-871.8053341907172,1.6172190916563742,1000,False,False,False,4.829701053818461,0.13250696630275222,-63.4236957550629,0.01299810204773015,0.3619428741954633,0.1237327465195463,0.086389689625034,0.06906359336989663,4.253387305652723e-05,0.0666104331612587,0.10427292436361313,0.526,0.352,0.5622294768691063,0.5636791705386713,0.536501453043893,0.12445895373821259,0.993,0.029708360388012275,0.014672180155404474,0.0008051797078556383,0.0016172190916563737,0.0,0.0,0.0,0.386,1.0,0.0
1,172674724,15.760431208088963,-893.170855893503,1.777862574203183,1000,False,False,False,66.36175584674574,0.19434437281790415,-32.81034421971131,0.1131214995055267,0.31005717111244224,0.1131214995055267,0.07762928261728484,0.01924290930402676,0.11289606243371964,0.11289606243371964,0.007138118613511324,0.515,0.0,0.5855817943811417,0.5732691386081278,0.5102164785563946,0.17116358876228333,0.996,0.001587386562926728,0.011379383646233844,0.0006394058947744134,0.0017778625742031822,0.0,0.003,1.0,0.621,1.0,0.0
2,163903425,120.0104040196355,-484.255884833621,1.168532577706532,1000,False,False,False,26.64028907971667,0.18613189564582763,-68.42557240070225,0.13631938220377177,0.375394635597684,0.13632729606806052,0.10110094491596301,2.2830615856957272e-08,0.0020300864707678556,0.13624076545238495,0.0048564886674284935,0.64,0.0,0.0,0.26066717654770766,0.0,-0.07089187949895859,0.439,0.010122108341362242,0.024619711516642693,0.0,0.001168532577706527,1.0,0.541,1.0,0.591,1.0,0.0
3,1019325551,-108.88692599118221,-177.30177462362235,0.13486969726488018,49,False,False,True,-71.56441505005668,0.1277921424410786,-136.23825179153027,1.5775919432538568,1.6946581125338684,1.755060547623727,0.7040671641933234,0.576505493066009,0.6701469421386719,1.0019373893737793,1.4409576654434204,0.0,0.0,0.5941535085439682,0.39553284424129037,0.39553284424129037,0.1883070170879364,0.7142857142857143,0.10793176042089071,0.11016495580896012,0.0003745694461304433,0.0027524428013240864,0.0,0.0,0.0,0.0,1.0,0.0
4,1629015762,32.835997761041085,-778.7621780911775,1.5831963517044354,1000,False,False,False,36.14119926778343,0.15890501087685352,-45.31121982814857,0.043155051875916284,0.36957404552718104,0.1196726549281901,0.09582229703712615,0.014926828914471248,0.00011739730689441785,0.11963977664709091,0.0028050278779119253,0.535,0.356,0.0,0.5533655128851533,0.31627062583342197,-0.07259465754032135,0.953,0.0050311521251409,0.020300731725503816,3.0045411511988793e-05,0.0015831963517044367,1.0,0.023,1.0,0.36,1.0,0.0
5,1449951718,13.461331118456906,-756.519475241369,1.499961612719656,1000,False,False,False,46.91146711062322,0.12642632544829016,-18.301609271026873,0.024299385457079527,0.37146217595300346,0.0755850309875481,0.11134958754590484,0.05831691563401274,2.1076202756376006e-05,0.052420616149902344,0.05445342883467674,0.488,0.346,0.5555370301008224,0.578903195893392,0.5556731035932898,0.1110740602016449,1.0,0.0279346300834382,0.01245287451375737,0.0025157405595811443,0.001499961612719652,0.0,0.0,0.0,0.335,1.0,0.0
6,1892108963,-65.8364436723292,-146.5634448031256,0.1584140022615927,76,False,False,True,-22.98139834545453,0.14070421199804456,-94.40174279413722,1.4046157304070497,1.4788781292961957,1.4046157304070497,0.3671800116243189,0.24425296096756788,0.7975261807441711,1.001631736755371,0.984722912311554,0.0,0.0,0.5676398649811745,0.618251617409681,0.5939647790789604,0.13527972996234894,1.0,0.0667617294654361,0.08126951119045535,0.0013501810607781384,0.0020843947665999053,0.0,0.0,0.0,0.0,1.0,0.0
7,1353470719,192.94248125646266,-464.5323727892491,1.2821897080914224,819,True,False,False,48.16571295682769,0.1912261214785529,-49.44681536243641,0.09827170656584007,0.4268183047384083,0.098299176191735,0.13380794539643986,0.0,5.1975250244140625e-05,0.09828968346118927,0.0013660765253007412,0.4456654456654457,0.040293040293040296,0.0,0.5595963779445715,0.2680857937783003,-0.07060885429382324,0.9633699633699634,0.007798168695503472,0.029194991669947604,5.721635154467414e-08,0.0015655551991348262,1.0,0.03418803418803419,1.0,0.36507936507936506,0.0,1.0
8,676069518,-9.585458152857564,-801.2337527419674,1.5432965891782209,1000,False,False,False,25.256825859804287,0.14682596199035358,-50.15606879287759,0.07382101764900795,0.35497670259355196,0.09610151682551371,0.08626695457983045,0.024104207432176637,0.03693952411413193,0.08435077965259552,0.04604831710457802,0.567,0.388,0.5753313302993774,0.5612609716036823,0.5642229896783829,0.15066266059875488,0.984,0.005422156318066735,0.013809766271881404,0.0008601789257779513,0.0015432965891782214,0.0,0.0,0.0,0.493,1.0,0.0
9,1315085260,-0.22847032891583385,-766.91308159597,1.493369222534106,1000,False,False,False,28.371012807191,0.1836001655042057,-65.42898360241703,0.07328756030463626,0.38976532839581746,0.07328756030463626,0.0979099560476892,0.038994396453112215,0.00020675659470725805,0.046484850347042084,0.056658849120140076,0.511,0.24,0.5827777683734894,0.571459933928214,0.5727059592306614,0.16555553674697876,1.0,0.005269406539552321,0.018734395262956352,0.001044088859380756,0.001493369222534108,0.0,0.0,0.0,0.383,1.0,0.0
10,1377954153,178.50746511383477,-175.24973065392768,0.6869943915355248,513,True,False,False,15.282766523384309,0.12763634984199485,-50.52387692361115,0.1613591982752604,0.5927445991258264,0.16138618444466207,0.1463392099035096,0.0,0.16135911643505096,0.16138610243797302,0.0001626944576855749,0.20662768031189083,0.0,0.0,0.5459263342447485,0.26337229982018473,-0.06965207308530807,0.9376218323586745,0.011849626039090984,0.009311443385096395,4.6813378536472716e-08,0.0013391703538704201,1.0,0.056530214424951264,1.0,0.10916179337231968,0.0,0.0
11,681462722,192.26123503274874,-393.73119139597065,1.1459448528574394,651,True,False,False,24.41238146519297,0.1704703610003214,-62.819918045446585,0.02563564153225468,0.517531534660042,0.025663000442387757,0.14600334631936573,0.0,0.02561807632446289,0.02564544603228569,0.0009490466327406466,0.2872503840245776,0.13210445468509985,0.0,0.5211684290680372,0.050648957565426825,-0.07110501080751419,0.9139784946236559,0.003212239433142207,0.026920104517514445,4.421263528420552e-08,0.0017602839521619652,1.0,0.06605222734254992,1.0,0.12135176651305683,0.0,1.0
